Original Order,Year,Event Type,Game System,Game ID,Title,Long Description,GM Names,Total Rounds,Experience Required,Cost $,Location,Also Runs,Start Date & Time,Short Description,Minimum Players,Prize,Rulex Complexity,Rules Edition,Age Required,End Date & Time,Group,Maximum Players,Materials Provided,Duration,Website,Email,Tournament?,Round Number,Minimum Play Time,Attendee Registration?,Room Name,Table Number,Special Category,Tickets Available,Last Modified
887,1990,OTHER,SEMINAR,900036,Ingredients Of Role Character.,The moderators will present constrasting views on their ingredients & how to whip up a treasured Character. Discussion is welcome and invited.,Donald Prust,Sem,N,FREE,"S6,",,,,,,,,,,,,,,,,,,,,,,,,
888,1990,OTHER,SEMINAR,900039,Meet Hero Games,Designers and editors from Hero Games will answer questions and talk about Fantasy Hero. New product previews! Insider gossip! Lots of exclamation points! Informal get together to follow.,Iron Crown Ent.,Sem,N,FREE,"S1, Octagon West",,,,,,,,,,,,,,,,,,,,,,,,
889,1990,OTHER,SEMINAR,900063,Rifts & Future Of Roleplaying,"Introducing the Majesty and desolation of Rifts, from Palladium Books. Go behind the scenes in the making of Kevin Siembieda’s 3-year RPG masterpiece Learn how a game is put together.",Palladium Books,Sem,N,FREE,"S5, Atrium SW",,,,,,,,,,,,,,,,,,,,,,,,
890,1990,OTHER,SEMINAR,900054,Robin Bailey and writing...,General discussion on how to write fiction hosted by well known author Robin Bailey and Mary Kirchoff.,"TSR, Inc.",Sem,N,FREE,"S4, Octagon West",,,,,,,,,,,,,,,,,,,,,,,,
891,1990,ROLE-PLAYING GAME,SEMINAR,400305,Becoming a Better DM Workshop,Several TSR game designers will be giving a workshop on the current ins and outs of Dungeon Mastering. A must for any DM serious about keeping a good gaming club together.,"TSR, Inc",Sem,N,FREE,"S2, Octagon West",,,,,,,,,,,,,,,,,,,,,,,,
892,1990,ROLE-PLAYING GAME,SEMINAR,400309,You Going to Carry All That?,Discuss what your favorite PC packs on his back. Is it only his sword & shield & some iron rations. ..or 400 feet of rope too? Can he survive on it? Can he lift it? See for yourself.,John Wheeler & Peter Rice,1,N,2,"S3, Octagon West",,,,,,,,,,,,,,,,,,,,,,,,
893,1990,COMPUTER GAMING,EMPIRE Software by Intersel,600010,Empire,"Two commanders will deploy their land, sea, and air forces and fight for control of a world in this classic computer strategy game.",Milwaukee Area Commodore Enthusiast,1,N,2,"CGA, W. Hall FI. 2",,,,,,,,,,,,,,,,,,,,,,,,
894,1990,MINIATURE GAMING,A FISTFUL OF MINIATURES by North Shore,300069,"10,000 Orcs & 1 IceCream Truck","The good guys got whomped on the last time and after a whole year without ice cream they are MAD! Fast, fun and easy-to-learn rules will be taught.",Jayson Gralewicz,1,N,2,"W212, W. Game Hall",,,,,,,,,,,,,,,,,,,,,,,,
895,1990,MINIATURE GAMING,"AD&D Game by TSR, Inc.",300131,The Throne Of Wishes,"Trapped in a plague infested city a stranger offers you a chance to get out. But first you must help find the Throne of Wishes.... AD&D 2nd Edition 6-8 players, skilled.",Joseph Zellmer,1,S,2,"W421, W. Game Hall","11,12",,,,,,,,,,,,,,,,,,,,,,,
896,1990,MINIATURE GAMING,BATTLETECH by FASA,300001,King of the Cliff!,"Brought back by request, this classic struggle to stay on top returns... With a twist. Last time there were pairs, now triplicates!",Chris Furmanek,1,S,2,"W120, W. Game Hall","14B, C15A",,,,,,,,,,,,,,,,,,,,,,,
897,1990,MINIATURE GAMING,HEROQUEST by Chaosium,300129,Quest For Shrapnel Of Death,Delve for the hidden shrapnel of Phadx in this fun filled game of Hero Quest. Both Hero Quest and Advanced Hero Quest sets will be used. Rules taught on-site.,Colin Crisanti,1,N,2,"W218, W. Game Hall",12,,,,,,,,,,,,,,,,,,,,,,,
898,1990,MINIATURE GAMING,HOME RULES,300042,Wolf Pack,Convoy and escorts battle submarines with the subs using hidden movement on a large table grid. Torpedo and depth charges fly back and forth!,Jerome Sinkovec,1,N,2,"W103, W. Game Hall",9,,,,,,,,,,,,,,,,,,,,,,,
899,1990,MINIATURE GAMING,MUSTANGS & MESSERSCHMITTS,300123,Black Sheep Blues,"While returning from their mission, Marine corsairs are ambushed by zeros. Which aquadron will make it back to base?",Patrick Connolly,1,I,2,"W425, W. Game Hall",,,,,,,,,,,,,,,,,,,,,,,,
900,1990,MINIATURE GAMING,ON TO RICHMOND by Courier Publishing,300060,The Rock Of Chickamaucua,Rosecrans gets a rather big surprise in the mountains of Tennessee. A 5mm semi-blind command nightmare.,Jeffrey Grossman,1,N,2,"W322, W. Game Hall",,,,,,,,,,,,,,,,,,,,,,,,
901,1990,MINIATURE GAMING,THERE'S A BOCHE IN MY BUSH! by GHQ,300135,There Is A Boche In My Bush!,The 4th Canadian Armored division tangles with 12th SS “HitlerJugend” in the Normandy Bocage. WWII Micro Armour & Terrain Maker combined for classic wargaming enjoyment.,GHQ,1,N,FREE,"W219, W. Game Hall",12,,,,,,,,,,,,,,,,,,,,,,,
902,1990,MINIATURE GAMING,WARHAMMER RULES by Games Workshop,300007,The Coming of the Saurons,"Squads of Space Marines and Orks hunt each other in a bombed-out city. These Orks are very tough & well organized. But you are Space Marines, aren’t you?",Robb Stellmach,1,N,2,"W217, W. Game Hall",,,,,,,,,,,,,,,,,,,,,,,,
903,1990,MINIATURE GAMING,WARHAMMER RULES by Games Workshop,300127,Nova Pass,A group of the black legion is trying to outflank a marine force and runs into a little eldar problem.,Timothy Schmidt,1,S,2,"W126, W. Game Hall",,,,,,,,,,,,,,,,,,,,,,,,
904,1990,OTHER,HOME RULES,400108,Dice Wars,"Using only 2, 6-sided Dice, can you vanquish your opponent? Using only your luck, no skill added. If you are lucky enough you will advance through the ranks. You may become the Rolling Wizard!",James Phillips,2,N,2,S6,,,,,,,,,,,,,,,,,,,,,,,,
905,1990,OTHER,WRESTLING WARRIORS,900034,Battle Royale,Your Wrestlers square off in a wild free-for-all. The only way to be eliminated is to be thrown over the top rope. Rules will be taught.,Walter Spafford,1,N,2,"E204, E. Game Hall",,,,,,,,,,,,,,,,,,,,,,,,
906,1990,ROLE-PLAYING GAME,"AD&D Game by TSR, Inc.",400022,The Bonds of Blood,One in your party of six seasoned professionals had received a most puzzling letter from his cousin urging him to come as quickly as possible to Donagael Near. A puzzle-solving role-playing.,Steve Miller,2,S,2,"E607, E. Game Hall Final: 10,12",,,,,,,,,,,,,,,,,,,,,,,,
907,1990,ROLE-PLAYING GAME,"AD&D Game by TSR, Inc.",400050,"Globe of Gods IV, Take A Stand",It’s been five years since your last adventure dealing with the Globe of Gods. Now word reaches you that something is amiss at the Temple of Grax. The High Priest is missing. Characters provided.,David Cali,2,S,2,"K53, Kilbourn Location: K55, Kilbourn Final: 11",,,,,,,,,,,,,,,,,,,,,,,,
908,1990,ROLE-PLAYING GAME,"AD&D Game by TSR, Inc.",400278,Life's A Lich And Then You Die,A challenging AD&D Game Tourney. Invade the Tumb of an ultra powerful Lich & he’s ready for anything! A mix of humor and excitement. In fact you could die laughing.... Characters provided.,Mark Karau,2,S,2,"E302, E. Game Hall Location: E402, E. Game Hall Final: 12",,,,,,,,,,,,,,,,,,,,,,,,
909,1990,ROLE-PLAYING GAME,"AD&D Game by TSR, Inc.",400225,Anoev VI—Onward and Upward!,You’ve survived the Dungeon of Stone to find your King but you find him rendered penniless. Will you agree to just one more mission to recover his wealth and your pay?,Wayne Straiton,1,S,2,"E611, E. Game Hall",9,,,,,,,,,,,,,,,,,,,,,,,
910,1990,ROLE-PLAYING GAME,"AD&D Game by TSR, Inc.",400194,Battle Of Gnome Hill,"30 years after the devastating Flutter Bug War, evil & chaos stir across the land. A clan of peaceful Gnomes have suddenly become anti-social and withdrawn. Human youths are missing.",Patrick Spera,1,N,2,"E705, E. Game Hall",11,,,,,,,,,,,,,,,,,,,,,,,
911,1990,ROLE-PLAYING GAME,"AD&D Game by TSR, Inc.",400191,Bob's Revisited,"Claustrophobic? This adventure isn’t for you, unless you’re a masochist.Caving isn’t safe with Bob’s. Explore ancient terror and delight, solve the exit riddle,& escape to drink to your skill!",Kirk Sorensen,1,S,2,"E309, E. Game Hall",12,,,,,,,,,,,,,,,,,,,,,,,
912,1990,ROLE-PLAYING GAME,"AD&D Game by TSR, Inc.",400117,Bob's The Word,"Saving Bobby is as easy as A.B.C. You are as good as your word. Roget the Wizard, is very good at words. Are you? Levels 5-9 provided. Problem solving and action, not role-playing. A Bob event.",Raymond Vaseleski,1,S,2,"E104, E. Game Hall",12,,,,,,,,,,,,,,,,,,,,,,,
913,1990,ROLE-PLAYING GAME,"AD&D Game by TSR, Inc.",400118,Bobzilla,"The ancient prophecy has come to pass. Mount Bob’s eruption unleashed Monsters to destroy the Earth. You must find a way to wake Bobzilla, the only hope to save all Bobland. A Bob event.",Carol Vaseleski,1,N,2,"E112, E. Game Hall",12,,,,,,,,,,,,,,,,,,,,,,,
914,1990,ROLE-PLAYING GAME,"AD&D Game by TSR, Inc.",400423,Brute Force,"Powerful barbarians have been summoned to overcome their arch-enemy, an evil wizard. You must pit your strength and fighting prowess against his arcane lore. BYOC. Levels 14-20. Barbarians only.",Paul Wilson,1,S,2,"K33, Kilbourn",,,,,,,,,,,,,,,,,,,,,,,,
915,1990,ROLE-PLAYING GAME,"AD&D Game by TSR, Inc.",400029,"The Day After, Rotwish I","The game begins the day after each character receives a ring of 3 wishes, role-playing emphasized",Joseph Alford,1,N,2,"E213, E. Game Hall","09, 10, 12, 13, 14",,,,,,,,,,,,,,,,,,,,,,,
916,1990,ROLE-PLAYING GAME,"AD&D Game by TSR, Inc.",400019,Death Storm VIII,"Nikro escaped neoparzanon, alone. Arriving back at town, he found his friends returned. Except for one. A note read:Your companion is mine, come get him. If you can. A year later, are you ready? ",Bruce Medic,1,S,2,"E304, E. Game Hall",12,,,,,,,,,,,,,,,,,,,,,,,
917,1990,ROLE-PLAYING GAME,"AD&D Game by TSR, Inc.",400208,Drows Live,GDRM HDLIWH TREVM GL GDRM HLMH LU GSV WFPV LU FIO BVZIH ZTL ZIV NRHHRMT ZMW HL ZIV GSV HLMH. URMW GSVM. Not a typo.,Penny Anderson,1,I,2,"E210, E. Game Hall",,,,,,,,,,,,,,,,,,,,,,,,
918,1990,ROLE-PLAYING GAME,"AD&D Game by TSR, Inc.",400125,Groo Lives!!!!!!,"Groo, Rufferto and the rest will be hacking, slashing and laughing through this undead GM adventure. Roleplaying stressed , believe it or not. Undead GM continues here!",Bob “Darkforce” Brinkman,1,I,2,"K45, Kilbourn",,,,,,,,,,,,,,,,,,,,,,,,
919,1990,ROLE-PLAYING GAME,"AD&D Game by TSR, Inc.",400426,III of the lllithids,The brain-eaters are back. Powerful PC’s are needed to stop the end of the world. A Monty Haul marathon. Levels 25+ . No character is too tough. DMG artifacts OK. NO immortals.,Dawn Wilson,1,S,2,"K31, Kilbourn",,,,,,,,,,,,,,,,,,,,,,,,
920,1990,ROLE-PLAYING GAME,"AD&D Game by TSR, Inc.",400315,lsleWitch3—5 Faces Of Failure,"Celestes’ castle stands atop the Mount of Despair, so do you! Now for the Kings Ring, which of the 5 towers? Beware the Death of Dispair. What to do with Celeste! Roleplaying, Ladies only—16 & over.",Dale Goetzke,1,N,2,"ED5, E. Game Hall",,,,,,,,,,,,,,,,,,,,,,,,
921,1990,ROLE-PLAYING GAME,"AD&D Game by TSR, Inc.",400172,My Dinner With Nosferatu,Winter storms trap you in a city full of Vampires! Don’t you hate it when that happens?,Michael Gabriel,1,I,2,"E307, E. Game Hall",,,,,,,,,,,,,,,,,,,,,,,,
922,1990,ROLE-PLAYING GAME,"AD&D Game by TSR, Inc.",400450,Mystery At The Broken Oar Inn,"A quiet evening by the hearth, not in this game! A night’s stay brings you into the middle of murder and mayhem. Who does the deed? It could be anyone, maybe even you! Do you wish to find the answer?",Janice Ours,1,S,2,"K41, Kilbourn","11,13",,,,,,,,,,,,,,,,,,,,,,,
923,1990,ROLE-PLAYING GAME,"AD&D Game by TSR, Inc.",400186,The Necromancer’s Revenge,"Last year the last of the Elven ruins were shattered. Now,the Elves wish to break the chains which bars them from their ancient domain. Can you destroy the human artifact which bars the Elves?",James Robertson,1,I,2,"E410, E. Game Hall Location: E513, E. Game Hall",,,,,,,,,,,,,,,,,,,,,,,,
924,1990,ROLE-PLAYING GAME,"AD&D Game by TSR, Inc.",400012,The Over the Hill Gang,"The Grand Duke issues a call for champions to come forth and save the realm, but none can be found. None that is, except for those at the Guild Retirement Home. Will the Realm survive? 7-9 level",Vincent DiMeo Jr.,1,S,2,"E409, E. Game Hall",,,,,,,,,,,,,,,,,,,,,,,,
925,1990,ROLE-PLAYING GAME,"AD&D Game by TSR, Inc.",400026,Quest for Life,"Dead players find themselves in a Temple without doors or windows to the outside. Only, the Orb of Life can free you from the grim reapers home.",Guy-Joseph Guercio,1,N,2,"E502, E. Game Hall",10,,,,,,,,,,,,,,,,,,,,,,,
926,1990,ROLE-PLAYING GAME,CALL OF CTHULHU Game by Chaosium,400055,Journey Into Darkness VI,"Our brave investigators embark on their strangest voyage yet. From Chicago and the 1926 World Series to Washington, Pres. Coolidge and Nicaragua. Who will survive?",Jeffrey Carey,2,S,2,"E305, E. Game Hall Final: 14",,,,,,,,,,,,,,,,,,,,,,,,
927,1990,ROLE-PLAYING GAME,CALL OF CTHULHU Game by Chaosium,400255,Perchance To Dream...,You are one of the arch-dreamers of Earth! Lord Nodens has quested you with a most difficult & dangerous task. Can you & your elite companions complete the mission & thwart Nyarlathotep?,Solomon Mintzer,1,S,2,"E604, E. Game Hall",,,,,,,,,,,,,,,,,,,,,,,,
928,1990,ROLE-PLAYING GAME,CHAMPIONS Game by Iron Crown,400409,Capitol Patrol 6,"Washington D.C.’s premiere superheroes return for the sixth straight year. This year the Patrol is finally back from the future, but are they ready for 1990? GMed by Champions authors.",Robert Bell,2,N,2,"K46, Kilbourn Location: K50, Kilbourn",11 Final: 12,,,,,,,,,,,,,,,,,,,,,,,
929,1990,ROLE-PLAYING GAME,CHAMPIONS Game by Iron Crown,400245,"Enforcers II, Old Flames",The Enforcers receive a mysterious warning of an impending doom from their past that threatens one of the team. But which one and what is the threat? Characters provided.,Terry O’Brien,2,I,2,"E102, E. Game Hall Final: 10",,,,,,,,,,,,,,,,,,,,,,,,
930,1990,ROLE-PLAYING GAME,CHAMPIONS Game by Iron Crown,400067,Masquerade,"Why so silent, good M’sieurs? Did you think that I had left you for good? Summoned from a masque by a voice from your past, you venture into hell—past the point of no return. Roleplaying stressed.",John & Linda Cox,2,N,2,"E406, E. Game Hall",10 Final: 13,,,,,,,,,,,,,,,,,,,,,,,
931,1990,ROLE-PLAYING GAME,CHAMPIONS Game by Iron Crown,400432,History Or....History?,"A notorious Nazi war criminal has surfaced. He wants a medal for heroism, the world wants to hang him, and several heroes from the 40th aren’t saying what they want...225-250 pt. characters.",Philip Kelley,1,I,2,"E313, E. Game Hall",12,,,,,,,,,,,,,,,,,,,,,,,
932,1990,ROLE-PLAYING GAME,CHAMPIONS Game by Iron Crown,400413,Nothing To Fear,The dead are rising throughout the world. Can the Protectors stop this Zombie plague and find out what caused it before the dead outnumber the living. Role-playing emphasized.,Thomas Stevens,1,N,2,"K56, Kilbourn",13,,,,,,,,,,,,,,,,,,,,,,,
933,1990,ROLE-PLAYING GAME,CHILL Game by Mayfair Games,400243,This Old House,"Drastically reduced! This early-1800’s farmhouse overlooks the bay in west Pubnico & is situated on 100 acres of partially wooded land. May be sub-divided, Call Today! Halfax Realty.",Karen Betts,1,I,2,"E114, E. Game Hall","12,14",,,,,,,,,,,,,,,,,,,,,,,
934,1990,ROLE-PLAYING GAME,"DAWN PATROL Game by TSR, Inc. ",400176,Over The Mountains,"The Austrian, Hungarian and Allies Air Forces meet in deadly combat in the skies above the Italian front. WWI aerial combat using DAWN PATROL rules.",Alan Christensen,1,I,2,"E207, E. Game Hall",,,,,,,,,,,,,,,,,,,,,,,,
935,1990,ROLE-PLAYING GAME,DC HEROES by Mayfair Games,400149,"Here A Villain, There A Villain","Who is the new Secret Society of Super Villains? Why are they killing the old members? Find out soon, because you’re one of the targets! Play a bad guy and find out how the other half lives.",Stephen Crew,1,I,2,"E407, E. Game Hall",,,,,,,,,,,,,,,,,,,,,,,,
936,1990,ROLE-PLAYING GAME,"HARNMASTER by Columbia Games, Inc.",400089,Cleric Hunt,"A renegade Cleric is on the loose. You must find him within 3 days. If you do not, you will become the hunted. Beginners are welcome, Rules taught, Role-playing stressed. Age 17 and up.",Kevin Bratager,1,N,2,"E405, E. Game Hall","11,14",,,,,,,,,,,,,,,,,,,,,,,
937,1990,ROLE-PLAYING GAME,HERO GAME by Iron Crown Enterprises,400043,The Eight Sides of Octagon,"They are not so much heroes as they are survivors. They don’t have money or a fancy headquarters, they’re family. They’re Octagon. Susan and Brian Grau host. An official I.C.E. event. 16 and older.",Susan Grau,2,S,2,"E203, E. Game Hall Location: E105, E. Game Hall",09 Final: 11,,,,,,,,,,,,,,,,,,,,,,,
938,1990,ROLE-PLAYING GAME,HOME RULES,400087,The Twelve Swords,"An adventure set in the world created by Fred Saberagen in his, Book of Swords series. The Gods have created 12 different swords for their, Game. Will you survive?",Joe Pantuso,1,N,2,"E413, E. Game Hall",12,,,,,,,,,,,,,,,,,,,,,,,
939,1990,ROLE-PLAYING GAME,PARANOIA Game by West End Games,400174,The B-RDY Clones,"The Computer wants,YOU to protect it from the insidious invasion of an elite unit of Earth mothers called, the Typical American Family. Confused neophytes & bloodthirsty veterans.",David Graf,1,I,2,"E412, E. Game Hall",10,,,,,,,,,,,,,,,,,,,,,,,
940,1990,ROLE-PLAYING GAME,PARANOIA Game by West End Games,400239,Where No Clone Has Gone Before,"This is a red level adventure, where one of our loyal trouble shooters finds a door to the unknown ZZZ SECTOR. What lies beyond the door is for you to find out. GM will provide everything.",Major Hieken,1,N,2,"E512, E. Game Hall","11,12",,,,,,,,,,,,,,,,,,,,,,,
941,1990,ROLE-PLAYING GAME,PENDRAGON Rules by Chaosium,400075,Shadows of Grey,"Ghost of a long buried past. A test of loyalty to those unseen. Through the forest of Greyburrow you find what you sought to forget, yet you must face it once more.",Chad Briggs,1,I,2,"E709, E. Game Hall",,,,,,,,,,,,,,,,,,,,,,,,
942,1990,ROLE-PLAYING GAME,ROLEMASTER Game by Iron Crown,400073,"llion, Verox, or Urson?",Which dimension shall it be? An evil Wizard has been causing multi-dimensional trouble and gone to one of these 3 dimensions. Your band of characters must hold him down or he destroys the Universe.,Aaron Porter,1,S,2,"E602, E. Game Hall",11,,,,,,,,,,,,,,,,,,,,,,,
943,1990,ROLE-PLAYING GAME,ROLEMASTER Game by Iron Crown,400072,Momma Told Me. ..,there’d be ports like this! Your shipmates and you are charged with Piracy. You must exonerate yourself by foiling the true culprits. Be provided with or bring your own 1st-3rd level PC.,Bob Rosenthal,1,N,2,"E212, E. Game Hall",,,,,,,,,,,,,,,,,,,,,,,,
944,1990,ROLE-PLAYING GAME,SHADOWRUN by FASA,400392,Jungle Rescue,"Mr. Soyimaya, your boss, was lost in the Jungles of Amonzonia. You are to rescue him. A Shadowrun in a new environment, the Jungle. No previous experience necessary.",Shannon Clark,2,N,2,"K35, Kilbourn",9,,,,,,,,,,,,,,,,,,,,,,,
945,1990,ROLE-PLAYING GAME,SHADOWRUN by FASA,400131,Race War,"Religious fanatics have kidnapped powerful Elven Mages. A team of humans and a team of awakened must join together to free the captives & expose the menace, before a race war erupts.",John Josten,2,S,2,"E211, E. Game Hall Location: E311, E. Game Hall Location: E411, E. Game Hall","09, 10 Final: 12",,,,,,,,,,,,,,,,,,,,,,,
